date,ticker,spot,m1,m2,m3,regime,contango_m1_pct,contango_m2_pct,contango_m3_pct,roll_yield_annualized_pct,curve_slope
2026-05-27,GC=F,4474.100098,4441.399902,4474.100098,4496.799805,BACKWARDATION,-0.7309,0.0,0.5074,8.7708,1.2474
2026-05-27,NG=F,3.054,2.92,3.053,3.076,BACKWARDATION,-4.3877,-0.0327,0.7204,52.6524,5.3425
2026-05-27,SI=F,74.489998,74.434998,75.834999,77.456001,FLAT,-0.0738,1.8056,3.9817,0.8856,4.0586
2026-05-27,HG=F,6.351,6.332,6.3785,6.487,FLAT,-0.2992,0.433,2.1414,3.5904,2.4479
2026-05-27,ZW=F,626.75,626.75,640.25,660.5,FLAT,0.0,2.154,5.3849,-0.0,5.3849
2026-05-27,ZC=F,455.5,455.5,462.5,480.5,FLAT,0.0,1.5368,5.4885,-0.0,5.4885
2026-05-28,CL=F,90.68,,90.68,87.989998,UNKNOWN,,0.0,-2.9665,,
2026-05-28,GC=F,4433.100098,4399.799805,4433.100098,4463.399902,BACKWARDATION,-0.7512,0.0,0.6835,9.0144,1.4455
2026-05-28,NG=F,3.068,3.04,3.068,3.096,BACKWARDATION,-0.9126,0.0,0.9126,10.9512,1.8421
2026-05-28,SI=F,73.705002,73.084999,73.995003,74.044998,BACKWARDATION,-0.8412,0.3935,0.4613,10.0944,1.3135
2026-05-28,HG=F,6.356,6.327,6.384,6.428,BACKWARDATION,-0.4563,0.4405,1.1328,5.4756,1.5963
2026-05-28,ZW=F,625.25,625.25,639.0,658.25,FLAT,0.0,2.1991,5.2779,-0.0,5.2779
2026-05-28,ZC=F,455.75,455.75,463.0,480.75,FLAT,0.0,1.5908,5.4855,-0.0,5.4855
